YEAR,STATIONID,LON,LAT,NUMBER_FISH
1994,7048,-170.6,59.6,40
1994,7061,-169.3,59.6,70
1994,7094,-166,59.6,31
1994,7133,-177.2,59.7,83
1994,7140,-176.5,59.7,24
1994,7146,-175.9,59.7,26
1994,7154,-175.1,59.7,76
1994,7161,-174.4,59.7,61
1994,7167,-173.8,59.7,25
1994,7172,-173.3,59.7,57
1994,7180,-172.5,59.7,47
1994,7186,-171.9,59.7,38
1994,7193,-171.2,59.7,31
1994,7206,-169.9,59.7,65
1994,7219,-168.6,59.7,74
1994,7225,-168,59.7,38
1994,7232,-167.3,59.7,33
1994,7239,-166.6,59.7,68
1994,7481,-171.3,59.9,45
1994,7554,-177.8,60,30
1994,7560,-177.2,60,94
1994,7565,-176.7,60,11
1994,7573,-175.9,60,30
1994,7579,-175.3,60,127
1994,7586,-174.6,60,52
1994,7593,-173.9,60,30
1994,7599,-173.3,60,46
1994,7606,-172.6,60,154
1994,7613,-171.9,60,45
1994,7626,-170.6,60,41
1994,7632,-170,60,81
1994,7639,-169.3,60,99
1994,7646,-168.6,60,81
1994,7652,-168,60,21
1994,7967,-176.1,60.3,14
1994,7974,-175.4,60.3,114
1994,7981,-174.7,60.3,44
1994,7987,-174.1,60.3,19
1994,7994,-173.4,60.3,18
1994,8007,-172.1,60.3,63
1994,8015,-171.3,60.3,66
1994,8021,-170.7,60.3,50
1994,8028,-170,60.3,73
1994,8035,-169.3,60.3,83
1994,8041,-168.7,60.3,36
1994,8048,-168,60.3,34
1994,8055,-167.3,60.3,73
1994,8082,-177.4,60.4,81
1994,8089,-176.7,60.4,40
1994,8379,-172.7,60.6,166
1994,8392,-171.4,60.6,64
1994,8445,-178.2,60.7,23
1994,8451,-177.6,60.7,48
1994,8459,-176.8,60.7,10
1994,8465,-176.2,60.7,20
1994,8473,-175.4,60.7,54
1994,8479,-174.8,60.7,49
1994,8486,-174.1,60.7,16
1994,8492,-173.5,60.7,28
1994,8506,-172.1,60.7,116
1994,8748,-177.6,61,32
1994,8754,-177,61,77
1994,8761,-176.3,61,71
1994,8769,-175.5,61,122
1994,8776,-174.8,61,65
1994,8782,-174.2,61,31
1994,8789,-173.5,61,42
1994,8796,-172.8,61,129
1994,8803,-172.1,61,92
1994,8809,-171.5,61,57
1994,8977,-176.9,61.3,53
1994,8983,-176.3,61.3,61
1994,8990,-175.6,61.3,23
1994,8996,-175,61.3,91
1994,9003,-174.3,61.3,72
1994,9010,-173.6,61.3,56
1994,9219,-176.5,61.7,38
1994,9226,-175.8,61.7,30
1994,9233,-175.1,61.7,94
1994,9239,-174.5,61.7,117
1994,9247,-173.7,61.7,63
1994,9349,-175.8,62,47
1994,9356,-175.1,62,87
1994,9362,-174.5,62,70
1994,9370,-173.7,62,61
1995,108,-165.1,54.7,35
1995,230,-166.9,55,44
1995,236,-166.3,55,28
1995,241,-165.8,55,46
1995,248,-165.1,55,52
1995,310,-164.6,55.1,22
1995,408,-167.6,55.3,40
1995,414,-167,55.3,63
1995,420,-166.4,55.3,67
1995,426,-165.8,55.3,47
1995,432,-165.2,55.3,59
1995,439,-164.5,55.3,13
1995,444,-164,55.3,56
1995,450,-163.4,55.3,117
1995,644,-167,55.6,50
1995,726,-168.2,55.7,93
1995,732,-167.6,55.7,20
1995,744,-166.4,55.7,64
1995,750,-165.8,55.7,40
1995,756,-165.2,55.7,20
1995,762,-164.6,55.7,45
1995,768,-164,55.7,46
1995,774,-163.4,55.7,55
1995,780,-162.8,55.7,68
1995,1057,-168.2,56,81
1995,1063,-167.6,56,24
1995,1069,-167,56,38
1995,1075,-166.4,56,43
1995,1081,-165.8,56,27
1995,1087,-165.2,56,13
1995,1093,-164.6,56,49
1995,1098,-164.1,56,105
1995,1105,-163.4,56,71
1995,1111,-162.8,56,64
1995,1116,-162.3,56,87
1995,1421,-170.7,56.3,36
1995,1427,-170.1,56.3,53
1995,1435,-169.3,56.3,83
1995,1440,-168.8,56.3,76
1995,1446,-168.2,56.3,77
1995,1458,-167,56.3,7
1995,1464,-166.4,56.3,17
1995,1470,-165.8,56.3,33
1995,1476,-165.2,56.3,35
1995,1482,-164.6,56.3,73
1995,1488,-164,56.3,83
1995,1494,-163.4,56.3,77
1995,1506,-162.2,56.3,49
1995,1512,-161.6,56.3,55
1995,1518,-161,56.3,44
1995,1593,-167.7,56.4,74
1995,1642,-162.8,56.4,19
1995,1898,-167.1,56.6,73
1995,1959,-161,56.6,53
1995,1997,-172.6,56.7,22
1995,2004,-171.9,56.7,21
1995,2009,-171.4,56.7,17
1995,2016,-170.7,56.7,18
1995,2022,-170.1,56.7,45
1995,2028,-169.5,56.7,72
1995,2034,-168.9,56.7,168
1995,2040,-168.3,56.7,23
1995,2046,-167.7,56.7,89
1995,2059,-166.4,56.7,19
1995,2065,-165.8,56.7,28
1995,2071,-165.2,56.7,29
1995,2077,-164.6,56.7,76
1995,2083,-164,56.7,29
1995,2089,-163.4,56.7,50
1995,2095,-162.8,56.7,25
1995,2101,-162.2,56.7,39
1995,2107,-161.6,56.7,43
1995,2119,-160.4,56.7,49
1995,2126,-159.7,56.7,84
1995,2469,-173.3,57,33
1995,2475,-172.7,57,20
1995,2482,-172,57,41
1995,2488,-171.4,57,12
1995,2494,-170.8,57,21
1995,2500,-170.2,57,62
1995,2507,-169.5,57,56
1995,2513,-168.9,57,142
1995,2519,-168.3,57,50
1995,2525,-167.7,57,44
1995,2531,-167.1,57,103
1995,2537,-166.5,57,24
1995,2544,-165.8,57,74
1995,2550,-165.2,57,18
1995,2556,-164.6,57,39
1995,2562,-164,57,32
1995,2568,-163.4,57,80
1995,2574,-162.8,57,73
1995,2580,-162.2,57,48
1995,2586,-161.6,57,23
1995,2592,-161,57,74
1995,2598,-160.4,57,69
1995,2605,-159.7,57,83
1995,2611,-159.1,57,65
1995,2958,-173.3,57.3,112
1995,2970,-172.1,57.3,32
1995,2976,-171.5,57.3,17
1995,2989,-170.2,57.3,36
1995,2995,-169.6,57.3,68
1995,3001,-169,57.3,171
1995,3007,-168.4,57.3,115
1995,3014,-167.7,57.3,52
1995,3020,-167.1,57.3,99
1995,3026,-166.5,57.3,103
1995,3032,-165.9,57.3,47
1995,3038,-165.3,57.3,19
1995,3045,-164.6,57.3,25
1995,3051,-164,57.3,27
1995,3057,-163.4,57.3,71
1995,3063,-162.8,57.3,115
1995,3076,-161.5,57.3,111
1995,3082,-160.9,57.3,68
1995,3088,-160.3,57.3,155
1995,3094,-159.7,57.3,82
1995,3100,-159.1,57.3,24
1995,3107,-158.4,57.3,39
1995,3128,-172.8,57.4,57
1995,3147,-170.9,57.4,30
1995,3235,-162.1,57.4,124
1995,3466,-172.2,57.6,94
1995,3573,-161.5,57.6,170
1995,3621,-173.4,57.7,119
1995,3627,-172.8,57.7,80
1995,3640,-171.5,57.7,25
1995,3646,-170.9,57.7,65
1995,3652,-170.3,57.7,61
1995,3658,-169.7,57.7,74
1995,3665,-169,57.7,235
1995,3671,-168.4,57.7,105
1995,3678,-167.7,57.7,73
1995,3684,-167.1,57.7,82
1995,3690,-166.5,57.7,53
1995,3696,-165.9,57.7,25
1995,3702,-165.3,57.7,16
1995,3709,-164.6,57.7,32
1995,3715,-164,57.7,32
1995,3721,-163.4,57.7,46
1995,3727,-162.8,57.7,83
1995,3734,-162.1,57.7,119
1995,3746,-160.9,57.7,198
1995,3752,-160.3,57.7,100
1995,3759,-159.6,57.7,114
1995,3765,-159,57.7,73
1995,3771,-158.4,57.7,32
1995,4144,-173.5,58,148
1995,4151,-172.8,58,127
1995,4157,-172.2,58,64
1995,4163,-171.6,58,29
1995,4169,-171,58,33
1995,4176,-170.3,58,87
1995,4182,-169.7,58,22
1995,4188,-169.1,58,123
1995,4195,-168.4,58,67
1995,4201,-167.8,58,68
1995,4207,-167.2,58,51
1995,4214,-166.5,58,89
1995,4220,-165.9,58,18
1995,4226,-165.3,58,10
1995,4233,-164.6,58,4
1995,4239,-164,58,75
1995,4246,-163.3,58,16
1995,4252,-162.7,58,51
1995,4258,-162.1,58,49
1995,4264,-161.5,58,134
1995,4271,-160.8,58,138
1995,4277,-160.2,58,53
1995,4283,-159.6,58,208
1995,4289,-159,58,83
1995,4296,-158.3,58,61
1995,4637,-161.5,58.2,88
1995,4701,-174.3,58.3,131
1995,4708,-173.6,58.3,68
1995,4714,-173,58.3,100
1995,4721,-172.3,58.3,136
1995,4728,-171.6,58.3,57
1995,4734,-171,58.3,32
1995,4747,-169.7,58.3,28
1995,4753,-169.1,58.3,115
1995,4759,-168.5,58.3,35
1995,4766,-167.8,58.3,48
1995,4772,-167.2,58.3,56
1995,4778,-166.6,58.3,88
1995,4785,-165.9,58.3,7
1995,4791,-165.3,58.3,11
1995,4798,-164.6,58.3,36
1995,4804,-164,58.3,54
1995,4810,-163.4,58.3,49
1995,4817,-162.7,58.3,74
1995,4823,-162.1,58.3,103
1995,4836,-160.8,58.3,11
1995,4844,-160,58.3,75
1995,4848,-159.6,58.3,168
1995,4934,-170.4,58.4,36
1995,5310,-171.1,58.6,28
1995,5330,-169.1,58.6,32
1995,5362,-165.9,58.6,51
1995,5441,-176.9,58.7,46
1995,5448,-176.2,58.7,58
1995,5454,-175.6,58.7,42
1995,5461,-174.9,58.7,30
1995,5467,-174.3,58.7,61
1995,5473,-173.7,58.7,37
1995,5480,-173,58.7,113
1995,5486,-172.4,58.7,53
1995,5493,-171.7,58.7,22
1995,5506,-170.4,58.7,24
1995,5512,-169.8,58.7,35
1995,5525,-168.5,58.7,35
1995,5531,-167.9,58.7,65
1995,5538,-167.2,58.7,38
1995,5544,-166.6,58.7,28
1995,5557,-165.3,58.7,23
1995,5564,-164.6,58.7,55
1995,5570,-164,58.7,20
1995,5577,-163.3,58.7,66
1995,5583,-162.7,58.7,72
1995,5987,-177.5,59,41
1995,5993,-176.9,59,36
1995,5999,-176.3,59,33
1995,6005,-175.7,59,32
1995,6012,-175,59,24
1995,6018,-174.4,59,36
1995,6025,-173.7,59,30
1995,6031,-173.1,59,64
1995,6037,-172.5,59,19
1995,6044,-171.8,59,20
1995,6051,-171.1,59,14
1995,6057,-170.5,59,22
1995,6064,-169.8,59,58
1995,6070,-169.2,59,18
1995,6077,-168.5,59,24
1995,6083,-167.9,59,76
1995,6090,-167.2,59,45
1995,6096,-166.6,59,42
1995,6103,-165.9,59,21
1995,6109,-165.3,59,18
1995,6116,-164.6,59,49
1995,6122,-164,59,66
1995,6128,-163.4,59,49
1995,6506,-177.1,59.3,63
1995,6513,-176.4,59.3,36
1995,6519,-175.8,59.3,13
1995,6526,-175.1,59.3,53
1995,6532,-174.5,59.3,48
1995,6539,-173.8,59.3,31
1995,6545,-173.2,59.3,75
1995,6552,-172.5,59.3,12
1995,6559,-171.8,59.3,26
1995,6565,-171.2,59.3,16
1995,6572,-170.5,59.3,32
1995,6578,-169.9,59.3,25
1995,6585,-169.2,59.3,40
1995,6591,-168.6,59.3,28
1995,6605,-167.2,59.3,17
1995,6611,-166.6,59.3,13
1995,6617,-166,59.3,15
1995,6624,-165.3,59.3,33
1995,6631,-164.6,59.3,25
1995,6761,-167.9,59.4,55
1995,6800,-164,59.4,28
1995,7048,-170.6,59.6,38
1995,7061,-169.3,59.6,47
1995,7094,-166,59.6,26
1995,7133,-177.2,59.7,49
1995,7140,-176.5,59.7,32
1995,7146,-175.9,59.7,44
1995,7154,-175.1,59.7,82
1995,7161,-174.4,59.7,42
1995,7167,-173.8,59.7,24
1995,7172,-173.3,59.7,16
1995,7180,-172.5,59.7,97
1995,7186,-171.9,59.7,24
1995,7193,-171.2,59.7,23
1995,7206,-169.9,59.7,54
1995,7219,-168.6,59.7,52
1995,7225,-168,59.7,30
1995,7232,-167.3,59.7,14
1995,7239,-166.6,59.7,55
1995,7481,-171.3,59.9,26
1995,7554,-177.8,60,27
1995,7560,-177.2,60,45
1995,7565,-176.7,60,21
1995,7573,-175.9,60,34
1995,7579,-175.3,60,57
1995,7586,-174.6,60,31
1995,7593,-173.9,60,32
1995,7599,-173.3,60,46
1995,7606,-172.6,60,209
1995,7613,-171.9,60,41
1995,7626,-170.6,60,33
1995,7632,-170,60,23
1995,7639,-169.3,60,89
1995,7646,-168.6,60,41
1995,7652,-168,60,13
1995,7967,-176.1,60.3,41
1995,7974,-175.4,60.3,90
1995,7981,-174.7,60.3,52
1995,7987,-174.1,60.3,29
1995,7994,-173.4,60.3,34
1995,8007,-172.1,60.3,68
1995,8015,-171.3,60.3,71
1995,8021,-170.7,60.3,18
1995,8028,-170,60.3,74
1995,8035,-169.3,60.3,45
1995,8041,-168.7,60.3,59
1995,8048,-168,60.3,25
1995,8055,-167.3,60.3,51
1995,8082,-177.4,60.4,38
1995,8089,-176.7,60.4,38
1995,8379,-172.7,60.6,176
1995,8392,-171.4,60.6,43
1995,8445,-178.2,60.7,44
1995,8451,-177.6,60.7,29
1995,8459,-176.8,60.7,20
1995,8465,-176.2,60.7,29
1995,8473,-175.4,60.7,57
1995,8479,-174.8,60.7,69
1995,8486,-174.1,60.7,29
1995,8492,-173.5,60.7,15
1995,8506,-172.1,60.7,153
1995,8748,-177.6,61,40
1995,8754,-177,61,42
1995,8761,-176.3,61,64
1995,8769,-175.5,61,59
1995,8776,-174.8,61,76
1995,8782,-174.2,61,43
1995,8789,-173.5,61,40
1995,8796,-172.8,61,120
1995,8803,-172.1,61,122
1995,8809,-171.5,61,51
1995,8977,-176.9,61.3,50
1995,8983,-176.3,61.3,101
1995,8990,-175.6,61.3,21
1995,8996,-175,61.3,72
1995,9003,-174.3,61.3,47
1995,9010,-173.6,61.3,75
1995,9219,-176.5,61.7,50
1995,9226,-175.8,61.7,51
1995,9233,-175.1,61.7,61
1995,9239,-174.5,61.7,87
1995,9247,-173.7,61.7,54
1995,9349,-175.8,62,53
1995,9356,-175.1,62,93
1995,9362,-174.5,62,51
1995,9370,-173.7,62,57
1996,108,-165.1,54.7,18
1996,230,-166.9,55,35
1996,236,-166.3,55,39
1996,241,-165.8,55,32
1996,248,-165.1,55,34
1996,310,-164.6,55.1,14
1996,408,-167.6,55.3,16
1996,414,-167,55.3,45
1996,420,-166.4,55.3,36
1996,426,-165.8,55.3,39
1996,432,-165.2,55.3,43
1996,439,-164.5,55.3,16
1996,444,-164,55.3,34
1996,450,-163.4,55.3,98
1996,644,-167,55.6,42
1996,726,-168.2,55.7,77
1996,732,-167.6,55.7,17
1996,744,-166.4,55.7,66
1996,750,-165.8,55.7,30
1996,756,-165.2,55.7,35
1996,762,-164.6,55.7,40
1996,768,-164,55.7,75
1996,774,-163.4,55.7,40
1996,780,-162.8,55.7,67
1996,1057,-168.2,56,47
1996,1063,-167.6,56,27
1996,1069,-167,56,28
1996,1075,-166.4,56,48
1996,1081,-165.8,56,22
1996,1087,-165.2,56,12
1996,1093,-164.6,56,43
1996,1098,-164.1,56,67
1996,1105,-163.4,56,61
1996,1111,-162.8,56,41
1996,1116,-162.3,56,50
1996,1421,-170.7,56.3,32
1996,1427,-170.1,56.3,104
1996,1435,-169.3,56.3,58
1996,1440,-168.8,56.3,58
1996,1446,-168.2,56.3,69
1996,1458,-167,56.3,13
1996,1464,-166.4,56.3,20
1996,1470,-165.8,56.3,5
1996,1476,-165.2,56.3,18
1996,1482,-164.6,56.3,48
1996,1488,-164,56.3,86
1996,1494,-163.4,56.3,61
1996,1506,-162.2,56.3,42
1996,1512,-161.6,56.3,41
1996,1518,-161,56.3,55
1996,1593,-167.7,56.4,72
1996,1642,-162.8,56.4,11
1996,1898,-167.1,56.6,64
1996,1959,-161,56.6,76
1996,1997,-172.6,56.7,24
1996,2004,-171.9,56.7,33
1996,2009,-171.4,56.7,23
1996,2016,-170.7,56.7,30
1996,2022,-170.1,56.7,62
1996,2028,-169.5,56.7,82
1996,2034,-168.9,56.7,146
1996,2040,-168.3,56.7,35
1996,2046,-167.7,56.7,68
1996,2059,-166.4,56.7,16
1996,2065,-165.8,56.7,30
1996,2071,-165.2,56.7,31
1996,2077,-164.6,56.7,70
1996,2083,-164,56.7,27
1996,2089,-163.4,56.7,64
1996,2095,-162.8,56.7,18
1996,2101,-162.2,56.7,32
1996,2107,-161.6,56.7,42
1996,2119,-160.4,56.7,30
1996,2126,-159.7,56.7,133
1996,2469,-173.3,57,33
1996,2475,-172.7,57,36
1996,2482,-172,57,53
1996,2488,-171.4,57,21
1996,2494,-170.8,57,38
1996,2500,-170.2,57,77
1996,2507,-169.5,57,99
1996,2513,-168.9,57,117
1996,2519,-168.3,57,39
1996,2525,-167.7,57,26
1996,2531,-167.1,57,87
1996,2537,-166.5,57,46
1996,2544,-165.8,57,55
1996,2550,-165.2,57,31
1996,2556,-164.6,57,26
1996,2562,-164,57,33
1996,2568,-163.4,57,50
1996,2574,-162.8,57,63
1996,2580,-162.2,57,39
1996,2586,-161.6,57,28
1996,2592,-161,57,54
1996,2598,-160.4,57,74
1996,2605,-159.7,57,84
1996,2611,-159.1,57,70
1996,2958,-173.3,57.3,102
1996,2970,-172.1,57.3,33
1996,2976,-171.5,57.3,12
1996,2989,-170.2,57.3,39
1996,2995,-169.6,57.3,46
1996,3001,-169,57.3,160
1996,3007,-168.4,57.3,93
1996,3014,-167.7,57.3,31
1996,3020,-167.1,57.3,90
1996,3026,-166.5,57.3,50
1996,3032,-165.9,57.3,32
1996,3038,-165.3,57.3,10
1996,3045,-164.6,57.3,21
1996,3051,-164,57.3,32
1996,3057,-163.4,57.3,59
1996,3063,-162.8,57.3,104
1996,3076,-161.5,57.3,75
1996,3082,-160.9,57.3,45
1996,3088,-160.3,57.3,172
1996,3094,-159.7,57.3,113
1996,3100,-159.1,57.3,39
1996,3107,-158.4,57.3,31
1996,3128,-172.8,57.4,70
1996,3147,-170.9,57.4,32
1996,3235,-162.1,57.4,133
1996,3466,-172.2,57.6,88
1996,3573,-161.5,57.6,137
1996,3621,-173.4,57.7,77
1996,3627,-172.8,57.7,73
1996,3640,-171.5,57.7,18
1996,3646,-170.9,57.7,48
1996,3652,-170.3,57.7,61
1996,3658,-169.7,57.7,67
1996,3665,-169,57.7,180
1996,3671,-168.4,57.7,125
1996,3678,-167.7,57.7,70
1996,3684,-167.1,57.7,99
1996,3690,-166.5,57.7,42
1996,3696,-165.9,57.7,25
1996,3702,-165.3,57.7,12
1996,3709,-164.6,57.7,29
1996,3715,-164,57.7,34
1996,3721,-163.4,57.7,46
1996,3727,-162.8,57.7,69
1996,3734,-162.1,57.7,96
1996,3746,-160.9,57.7,148
1996,3752,-160.3,57.7,87
1996,3759,-159.6,57.7,118
1996,3765,-159,57.7,78
1996,3771,-158.4,57.7,63
1996,4144,-173.5,58,81
1996,4151,-172.8,58,110
1996,4157,-172.2,58,55
1996,4163,-171.6,58,13
1996,4169,-171,58,40
1996,4176,-170.3,58,69
1996,4182,-169.7,58,22
1996,4188,-169.1,58,117
1996,4195,-168.4,58,34
1996,4201,-167.8,58,28
1996,4207,-167.2,58,26
1996,4214,-166.5,58,76
1996,4220,-165.9,58,24
1996,4226,-165.3,58,11
1996,4233,-164.6,58,26
1996,4239,-164,58,44
1996,4246,-163.3,58,40
1996,4252,-162.7,58,44
1996,4258,-162.1,58,48
1996,4264,-161.5,58,107
1996,4271,-160.8,58,98
1996,4277,-160.2,58,62
