YEAR,STATIONID,LON,LAT,LENGTH,AGE
1994,2089,-163.4,56.7,19,1
1994,2089,-163.4,56.7,49,4
1994,2095,-162.8,56.7,19,1
1994,2095,-162.8,56.7,24,1
1994,2095,-162.8,56.7,24,1
1994,2095,-162.8,56.7,44,3
1994,2101,-162.2,56.7,23,1
1994,2101,-162.2,56.7,30,2
1994,2101,-162.2,56.7,32,2
1994,2101,-162.2,56.7,45,3
1994,2107,-161.6,56.7,11,1
1994,2107,-161.6,56.7,20,1
1994,2107,-161.6,56.7,35,4
1994,2107,-161.6,56.7,41,3
1994,2119,-160.4,56.7,13,1
1994,2119,-160.4,56.7,13,1
1994,2119,-160.4,56.7,18,1
1994,2119,-160.4,56.7,25,1
1994,2126,-159.7,56.7,14,1
1994,2126,-159.7,56.7,18,1
1994,2126,-159.7,56.7,28,2
1994,2126,-159.7,56.7,30,2
1994,2469,-173.3,57,19,1
1994,2469,-173.3,57,26,1
1994,2469,-173.3,57,26,1
1994,2469,-173.3,57,30,1
1994,2475,-172.7,57,18,1
1994,2475,-172.7,57,19,1
1994,2475,-172.7,57,27,1
1994,2475,-172.7,57,57,4
1994,2482,-172,57,12,1
1994,2482,-172,57,35,3
1994,2482,-172,57,43,3
1994,2482,-172,57,66,5
1994,2488,-171.4,57,32,2
1994,2488,-171.4,57,32,2
1994,2488,-171.4,57,65,6
1994,2488,-171.4,57,65,6
1994,2494,-170.8,57,18,1
1994,2494,-170.8,57,23,1
1994,2494,-170.8,57,23,1
1994,2494,-170.8,57,25,1
1994,2500,-170.2,57,10,1
1994,2500,-170.2,57,21,1
1994,2500,-170.2,57,22,1
1994,2500,-170.2,57,89,12
1994,2507,-169.5,57,15,1
1994,2507,-169.5,57,21,1
1994,2507,-169.5,57,23,1
1994,2507,-169.5,57,62,5
1994,2513,-168.9,57,16,1
1994,2513,-168.9,57,52,5
1994,2513,-168.9,57,52,5
1994,2513,-168.9,57,62,4
1994,2519,-168.3,57,23,1
1994,2519,-168.3,57,32,2
1994,2519,-168.3,57,45,2
1994,2519,-168.3,57,47,3
1994,2525,-167.7,57,36,2
1994,2525,-167.7,57,40,2
1994,2525,-167.7,57,41,2
1994,2525,-167.7,57,68,7
1994,2531,-167.1,57,22,1
